base_norm,descriptive_norm,situation,intention,moral_action,moral_consequence,immoral_action,immoral_consequence
التضحية,عن أبي هُرَيرةَ رَضِيَ اللهُ عنه، عن رسولِ اللهِ صلَّى اللهُ عليه وسلَّم أنَّه قال: ((مِن خَيرِ مَعاشِ النَّاسِ لهم رَجُلٌ مُمسِكٌ عِنانَ فَرَسِه في سبيلِ اللَّهِ، يطيرُ على مَتْنِه  ، كلَّما سَمِعَ هَيْعَةً  أو فَزعةً طار عليه، يبتغي القَتْلَ والموتَ مَظانَّه، أو رَجُلٌ في غُنَيمةٍ في رأسِ شَعَفَةٍ من هذه الشَّعَفِ  ، أو بَطنِ وادٍ مِن هذه الأوديةِ، يقيمُ الصَّلاةَ، ويُؤتي الزَّكاةَ، ويَعبُدُ ربَّه حتَّى يأتيَه اليقينُ، ليس من النَّاسِ إلَّا في خيرٍ)),في أطرافِ مدينةٍ تحفُّها بساتينُ الزيتون، كان سليمٌ راعيًا صغيرًا يعولُ أمَّه الأرملة، ويُرافقه جارهُ عاصمٌ في طريقِ السَّقيا.,أراد سليمٌ أن يُتمَّ شراءَ دواءٍ نافعٍ لأمِّه قبلَ غروبِ الشمس، وأن يبلِّغَ خبرَ حاجةِ جارِه العجوز إلى من يُسعفُه.,باع سليمٌ بعضَ ما ادَّخره من ثمنِ صوفِ غنمه، وترك راحته، فمضى إلى الصيدليِّ ثم عاد يطرقُ أبوابَ الجيرانِ مستنفرًا للعونِ.,سرعانَ ما اجتمعَ أهلُ الحيِّ حولَ العجوزِ، واطمأنَّت الأمُّ بدوائها، وذاعَ ذكرُ سليمٍ بالخير، فازدادت الثقةُ والتراحمُ بينَ الجيرانِ.,كتمَ سليمٌ خبرَ العجوزِ، وآثرَ أن يحتفظَ بمالِه كلِّه، فتأخَّر عن شراءِ الدواء، وانصرفَ إلى لعبِه غيرَ مبالٍ بنداءِ المحتاجين.,اشتدَّ وجعُ الأمِّ وتأذَّى العجوزُ لوحدته، ولامَ أهلُ الحيِّ سليمًا على تقصيرِه، ففترت المودَّةُ بينهم وقلَّت نجدةُ الناسِ له.
الإنصات,وَإِذْ صَرَفْنَا إِلَيْكَ نَفَرًا مِنَ الْجِنِّ يَسْتَمِعُونَ الْقُرْآنَ فَلَمَّا حَضَرُوهُ قَالُوا أَنْصِتُوا فَلَمَّا قُضِيَ وَلَّوا إِلَى قَوْمِهِمْ مُنْذِرِينَ [الأحقاف: 29],في رِواقِ الكُتّابِ العتيقِ جلسَ ياسرُ بينَ الصِّبيةِ، والشيخُ عبدُالرحمنِ يَتلو حِكَماً، بينما العصافيرُ تُغرّدُ والهواءُ يَحملُ رائحةَ الورقِ.,أرادَ ياسرُ أن يَفهمَ درسَ الشيخِ فهماً تامّاً ليُحسنَ تلاوةَ ما حَفِظَ، ويَنالَ ثقةَ أبيه، ويُعينَ زملاءَه على المراجعةِ.,لمّا اشتدَّ لَغَطُ الصِّبيةِ، أشارَ ياسرُ بيدهِ إلى السكونِ، وجلسَ مُهذّباً يُصغي، ثم سألَ الشيخَ بعدَ الفراغِ سؤالاً لطيفاً يَكشفُ موضعَ الإشكالِ.,سَرَّ الشيخُ بأدبِه، فابتسمَ وشجّعَ الصِّبيةَ على الاقتداءِ به، فَهَدَأ المجلسُ، وانتفعَ الجميعُ، وتوثّقتِ المودّةُ بينهم ببركةِ حُسنِ الاستماعِ.,أمّا إنْ تَركَ ياسرُ نفسَه للعَجَلةِ، فَراحَ يُقاطعُ التلاوةَ ويُكثرُ التعليقَ، ويُضحكُ أصحابَه، مُتوهّماً أنّه بذلك يَبلغُ الفهمَ سريعاً دونَ تَأنٍّ.,حينئذٍ يَضطربُ الرِّواقُ، ويَغضبُ بعضُ الصِّبيةِ لانقطاعِ الفائدةِ، ويَضعفُ تركيزُ الشيخِ، فيفوتُ الدرسُ، وتَبردُ الثقةُ بياسرَ ويقلُّ احترامُهم له.
كتمان السر,واحفَظْ لسانَك واحتَرِزْ من لَفظِهِ فالمرءُ يَسلَمُ باللِّسانِ ويَعطَبُ والسِّرَّ فاكتُمْه ولا تنـطِقْ بـه فهو الأسيرُ لديك إذ لا يَنشَبُ واحرِصْ على حِفظِ القُلوبِ من الأذى فرُجوعُها بعدَ التَّنافُرِ يَصعُبُ إنَّ القـلوبَ إذا تنـافَرَ وُدُّهـا مِثلُ الزُّجاجةِ كَسْرُها لا يُشعَبُ وكـذاك سِرُّ المرءِ إن لم يَطْوِهِ نشَرَتْه ألسِنةٌ تَزيدُ وتَكذِبُ,في مدرسةِ الحيِّ العتيقِ بدمشق، كان زيدٌ فتىً مهذّبًا يحبُّ أصحابه، وجلسَ مع خالدٍ في ساحةِ النخيلِ بعدَ الدرسِ يتجاذبانِ الحديثَ.,أراد زيدٌ أن يُعينَ خالدًا على تجاوزِ ضيقِه الخفيِّ، وأن يحفظَ ما يُلقى إليه من كلامٍ خاصٍّ دونَ أن يجرحَ قلبَ صاحبِه.,أسرَّ خالدٌ لزيدٍ بخوفِه من تعثُّرِ أبيه في تجارةٍ يسيرة، فلمّا سألهما سليمٌ، اكتفى زيدٌ بالدعاء وتغييرِ الحديثِ بلطفٍ ووقارٍ.,شعر خالدٌ بالأمانِ مع زيدٍ، فازدادت ثقته به، وصارت جماعتُهما أكثرَ رحمةً وتعاونًا، إذ تعلّموا أن صونَ الخصوصيّةِ من تمامِ المروءةِ.,أسرَّ خالدٌ لزيدٍ بخوفِه من تعثُّرِ أبيه، فلمّا خلا زيدٌ بسليمٍ في الطريقِ أذاع الخبرَ مزهوًّا، وزاد عليه ظنًّا ليبدو عالمًا بأحوالِ الناسِ.,انتشر الكلامُ بينَ التلاميذِ سريعًا، فاستحيا خالدٌ واعتزلَ رفاقَه، واضطربت مودّةُ المجموعةِ، إذ صار كلُّ واحدٍ يخشى لسانَ صاحبه ويقلُّ الصدقُ بينهم.
الصبر,إِنَّمَا يُوَفَّى الصَّابِرُونَ أَجْرَهُمْ بِغَيْرِ حِسَابٍ [الزمر:10],في حيٍّ قديمٍ من دمشق، كان ياسرُ تلميذًا مجتهدًا يعتني بمكتبة المدرسة، ويعاونه صديقُه معاذٌ، غيرَ أنّ الضجيجَ حولهما كثيرٌ وقتَ الاستعارة.,أراد ياسرُ أن يُتمَّ ترتيبَ الكتب قبل طابور الصباح، ليحفظَ أمانةَ المكتبة ويُرضيَ معلّمَه، من غيرِ أن يخاصمَ أحدًا أو يسيءَ إليه.,لمّا تأخّر بعضُ التلاميذ في ردِّ الكتب وتطاولوا بالكلام، كظم ياسرُ غيظَه، وتلطّف في تذكيرهم، ثم رتّب الرفوفَ على مهلٍ مستعينًا بالله.,هدأ جوُّ المكتبة، واستحيا التلاميذ من لينِه، فأعادوا الكتبَ في أوقاتها، وصار معاذٌ يقتدي بصبره، فانتشر بين الصغار احترامُ النظام والأمانة.,لمّا سمع ياسرُ تأخّرهم وسوءَ كلامهم، استعجل غضبًا، فرفع صوتَه ولامهم بقسوة، ثم رمى بعضَ الكتب كيفما اتّفق ليُتمَّ العمل سريعًا.,اشتدّ الضجيجُ وتخاصم الصغار، فتجرّأ بعضُهم على إخفاء كتابٍ خوفًا من العتاب، وضعفت ثقةُ المعلّم بالمكتبة، وغدا معاذٌ متوجّسًا من معاونته.
العزم، والعزيمة، وعلو الهمة,طَاعَةٌ وَقَوْلٌ مَعْرُوفٌ فَإِذَا عَزَمَ الْأَمْرُ فَلَوْ صَدَقُوا اللَّهَ لَكَانَ خَيْرًا لَهُمْ [محمد: 21],في قريةٍ هادئةٍ على ضفاف وادٍ صغير، كان ياسرُ تلميذًا مجتهدًا يُعين أباه في البستان، وقد أُعلنَت مسابقةٌ لحفظ حديثٍ شريف.,أراد ياسرُ أن يُتمَّ حفظ الحديث وأن يُلقيه أمام أهل المسجد بثباتٍ وصدق، ليكون قدوةً لإخوته الصغار في الاجتهاد.,قسّم ياسرُ وقتَه بين السقي والمراجعة، وداوم على التكرار بعد الفجر، ثم استشار معلّمَه في مخارج الحروف حتى أتقن الحفظ.,لمّا سمعه الإمامُ يُحسن الإلقاء، أثنى عليه أمام المصلّين، فازداد احترامُ زملائه له، وتشجّع بعضهم على المشاركة بجدٍّ.,تظاهر ياسرُ بالحفظ ولم يُراجع، ثم نسخ الكلمات خفيةً في ورقةٍ صغيرةٍ وأخفاها في كمّه طمعًا في الفوز السريع.,انكشف أمرُه حين اضطربت قراءتُه وسقطت الورقة، فاستاء المصلّون وابتعد عنه رفاقُه، وصار اسمه مقرونًا بالخذلان وقلة الأمانة.
المروءة,وما ضاقت الدُّنيا على ذي مُروءةٍ ولا هي مسدودٌ عليه رحابُها فقد بشَّرَتْني بالسَّعادةِ هِمَّتي وجاء من العَلياءِ نحوي كتابُها,في سوقِ بلدةِ السِّدرِ كان حارثٌ فتىً مؤدَّبًا يعينُ أباه التاجر، ورأى بجوار الدكّان رجلاً غريبًا أنهكته السَّفَرَةُ والغُربةُ.,أراد حارثٌ أن يحفظ للغريب كرامتَه ويُصلح ما بدا على وجهه من ذلِّ الحاجة، ليبقى السوقُ موطنَ أمانٍ وحسنِ سيرةٍ.,تقدّم حارثٌ بالسلامِ وأجلسه في ظلِّ الدكّان، ثم اشترى له خبزًا وتمراً، وسأل عنه برفقٍ حتى دلَّه على بيتِ الضيافةِ القريب.,انتشر خبرُ صنيعِ حارثٍ بين أهل السوق، فازدادت الثقةُ بتجارته ومالت القلوبُ إليه، وصار الناسُ يتعاونون على إغاثةِ كلِّ وافدٍ محتاجٍ.,تظاهر حارثٌ بأنّه لم يره، ودفع الغريبَ عن ظلِّ الدكّان خشيةَ أن يظنّه الناسُ سائلًا، ثم اشتغل بالبيعِ والربحِ دون اكتراثٍ.,تأذّى الغريبُ واشتكى لأهلِ البلدة، فتغيّرت نظرتُهم إلى حارثٍ، وقلّت بركةُ معاملته، وصار التجّارُ يتحفّظون منه ويجفونه في المجلس.
الغيرة,ولو أمسى على تَلَفي مُصِرًّا لقُلتُ مُعَذِّبي باللهِ زِدْني,كان سامي فتىً مهذّبًا يقرأ في مكتبة المدرسة القديمة، ولمّا رأى زميله عُمَر يبالغ في مزاحه مع أخته زينب عند الباب اضطرب قلبه.,أراد سامي أن يصون حُرمة زينب وسمعة أسرته، وأن يردّ المزاحَ المتجاوز إلى حدود الأدب دون خصومةٍ أو فضيحة بين التلاميذ.,تقدّم سامي بهدوء، فسلّم على عمر، وذكّره بلطفٍ أن للحديث مع البنات آدابًا، ثم اصطحب زينب إلى الإدارة مستعينًا بالمشرف.,استحيا عمر وتراجع، وشكر المشرفُ سامي على حكمته، فشاعت في المدرسة هيبةُ الأدب، واطمأنّت زينب إلى أخٍ يغار عليها برفق.,اندفع سامي غاضبًا، فاتهم عمر بسوء القصد أمام الطلاب، ورفع صوته وهدّده، ثم جذب زينب بعنفٍ وهو يطلق كلماتٍ جارحة تثير السخرية.,اشتعلت الخصومة بين الفتيان، وراجت الأقاويل حول زينب، وعاتبه المعلمون على فظاظته، فتكدّرت الأجواء وضعفت الثقة بسامي بين زملائه.
الحذر، واليقظة، والحيطة,عن أبي هُرَيرةَ -رَضِيَ اللَّهُ عنه-، عن النَّبيِّ -صلَّى اللهُ عليه وسلَّم -أنَّه قال: ((لا يُلدَغُ المُؤمِنُ من جُحرٍ واحِدٍ مَرَّتينِ)),يعيشُ التاجر مُهند في مدينةٍ تُعرف بحب سُكانها للتجارة.,يهدف مُهند إلى أن يكون حذرًا ويقيظًا في بيعه وشرائه لا يَظلم أو يُظلم.,تكررت زيارةُ شخص مراوغ، كان معروفًا بالسرقة لمتجر مُهند، لا ليبتاع بضاعةً، وإنما ليرتب حيلةً للسرقة، وكان مُهند يقظًا وحذرًا، حيث أخذ حيطته بوضع كاميرا لمراقبة المتجر.,سَلِمَ المتجر من السرقة، وسُرّ مُهند لذلك.,تكررت زيارةُ شخص مراوغ، كان معروفًا بالسرقة لمتجر مُهند، لا ليبتاع بضاعةً، وإنما ليرتب حيلةً للسرقة، أَمن مُهند للشخص، ولم يأخذ حيطته وحذره منه.,سُرِقَ المتجر، وحَزِن مُهند على ذلك حزنًا شديدًا.
المداراة,تجنَّبْ صَديقَ السُّوءِ واصرِمْ  حبالَه وإن لم تجِدْ عنه محيصًا فدارِهِ وأحبِبْ حبيبَ الصِّدقِ واحذَرْ مِراءَه تَنَلْ منه صَفْوَ الوُدِّ ما لم تُمارِهِ,في مدرسةٍ قريبةٍ من المسجد، كان سليمٌ تلميذًا مجتهدًا، وجالسه في الصفِّ فتىً كثيرُ العبث يُدعى مروان، يجرُّه إلى السخرية من الزملاء.,أراد سليمٌ أن يحفظ وقاره وسمعته بين أصحابه، وأن يبتعد عن أذى مروان دون خصومةٍ تُفسد مجلس الدراسة وتُحزن المعلّم.,لما دعاه مروان إلى الاستهزاء بزيدٍ المتعثّر في القراءة، اعتذر سليمٌ بلطفٍ، ونصح مروان سرًّا، ثم لازم رفقةَ المجتهدين وقطع مجالس العبث.,هدأت الحلقةُ الدراسية، وأحسّ التلاميذ بأمانٍ في صحبتِه، وخجل مروان من وحدته فخفّ أذاه، واقترب من سليم طالبًا صحبةً أصلح.,حين أغراه مروان بالضحك على زيدٍ أمام الجميع، شاركه سليمٌ استخفافًا، ورفع صوته بالتهكّم، ثم داوم مجالس مروان طمعًا في قبول جماعته.,سرت القسوة في الصف، وتوجّس الضعفاء من القراءة، وغضب المعلّم من سليمٍ فحذّره، وازدادت جرأة مروان حتى تفرّق الأصحاب عنهما نفورًا.
الصبر,وَجَعَلْنَا مِنْهُمْ أَئِمَّةً يَهْدُونَ بِأَمْرِنَا لَمَّا صَبَرُوا وَكَانُوا بِآيَاتِنَا يُوقِنُونَ [السجدة: 24],كان حَسَنٌ غلامًا مجتهدًا في كُتّابِ الحيّ، يجلس تحت ظلال النخيل مع رفاقه، ويُعاني بطءَ الحفظ وضجيجَ الصبيان حوله كلَّ صباح.,أراد حَسَنٌ أن يُتمَّ حفظ سُورةٍ قصيرةٍ قبل مجلسِ الشيخ، ليُسِرَّ والده ويكون قدوةً لزملائه، من غير أن يُغضبه عَجَلٌ أو يأس.,لمّا اشتدّ عليه اللَّبس، أطرق حَسَنٌ قليلًا ثم أعاد الآيات على مهلٍ، واستعان بالشيخ يسأله برفقٍ، وتحمّل سخريةَ بعض الصبيان بصبرٍ وحِلم.,رأى الصبيان ثباته فخفَّت ألسنتهم، وأقبل اثنان يعاونانه على المراجعة، فصار الكُتّاب أهدأَ وأطيبَ عِشرةً، ونال حَسَنٌ ثناءَ الشيخ ودعاءه.,لمّا عجز عن موضعٍ من الحفظ، ضاق حَسَنٌ ورفع صوته، ورمى لوحه على الأرض، ولام رفاقه على التشويش، ثم خرج ساخطًا تاركًا المجلس قبل تمامه.,اشتدّت الفوضى بعد غضبه، وتجرّأ الصبيان على مزيدٍ من العبث، وغضب الشيخ فأنقصه نوبتَه، وعاد حَسَنٌ إلى بيته مُثقلَ الصدر ضعيفَ الهمّة.
الشجاعة,شجاعٌ كأنَّ الحربَ عاشقةٌ له إذا زارها فَدَّتْه بالخيلِ والرَّجُلِ,خالد شاب يُعرف بقيادته وشجاعته وإِقْدَامه، يعيش في إحدى المناطق في البادية.,يَسعى خالد إلى حماية أهل المنطقة من أي خطر يهددهم.,ذات نهار، تَعرّضت منطقة خالد إلى سطوٍ من قاطعي سبيل. خطط خالد لمواجهتهم، حيث واجه قاطعي السبيل بشجاعة وحكمة، وعطّل قدراتهم دون إراقةٍ لأرواحهم.,دَحَرَ خالد قاطعي السبيل، ونجت المنطقة وأهلها من الضرر.,ذات نهار، تَعرّضت منطقة خالد إلى سطوٍ من قاطعي سبيل. خطط خالد لمواجهتهم، لكنه واجه قاطعي السبيل بخوف وتردد، لا بشجاعةٍ وإقدام.,فَشِلَ خالد في دحض قاطعي السبيل، وألَحق الضرر بأهل المنطقة كافة.
المروءة,إذا المرءُ أعيَتْه المُروءةُ ناشِئًا فمطلَبُها كَهلًا عليه شديدُ,زياد رجلٌ يعيش في قريةٍ اعتادَ أهلُها على مرور عابري السبيلِ.,يهدفُ زياد إلى إكرامعابري السبيل واستضافتهم، مُتحليًّا بقيم المُروءة.,ذات ليلة، مرّت أسرٌة عابرةُ سبيلٍ مُتعبة، عَلم زياد بحالهم، فهَرعَ إليهم بالماء والطعام واستضافهم في منزله للراحة.,سُرَّت العائلة واستبشرت بمروءةِ زياد وحُسن استقباله لهم.,ذات ليلة، مرّت أسرة عابرة سبيلٍ مُتعبة، عَلم زياد بحالهم، فتجاهلَهم، ولم يُحسن إليهم.,لم تَجد العائلة مأوى لتستريح إليه، وظَلَّت مُتعبة، وشعرَ زياد بالندم على فَظَاظَةِ خُلقه.
الشهامة,يابِسُ الجنبَينِ من غيرِ بُـؤسٍ ونَدِيُّ الكفَّينِ شَهمٌ مُدِلُّ,كان سليمٌ غلامًا من أهل الواحة، يسكن قرب سوقها، ورأى ذات صباحٍ امرأةً غريبةً ضاعت دابّتُها بين النخيل والزوّار يمرّون دون عونٍ.,أراد سليمٌ أن يردَّ للغريبة طمأنينتَها، ويعينها على العثور على دابّتِها وبلوغ أهلها سالمَةً، ليحفظ لها كرامتها بين الناس.,مضى سليمٌ يسأل أصحاب الدكاكين برفقٍ، ثم استأذن شيخَ السوق ليعلن عن الدابّة، وسقى المرأة ماءً، وأرسل صبيّين يتتبعان الأثر حتى وجداها.,شاع خبرُ صنيعِه بين أهل الواحة، فازداد تآلفُ الجيران، وصار المارّة يعينون الغرباء بوجهٍ طلقٍ، ودعا له شيخُ السوق أمام الناس بخيرٍ.,تظاهر سليمٌ بالانشغال، ولم يلتفت لدموع الغريبة، بل عرّج إلى السوق يساوم على سلعةٍ رخيصة، وتركها حائرةً بين النخيل تفتش وحدَها.,اضطرب أهلُ الواحة حين سمعوا بشكواها، فنقصت ثقتُهم بالغلمان في قضاء الحوائج، وتناقل الناس لومًا قاسيًا لسليمٍ حتى صار موضع نفورٍ.
العزم، والعزيمة، وعلو الهمة,وكنتُ إذا ما همَمْتُ اعتَزَمْتُ وأحْرِ  إذا قُلْتُ أن أفعَلَا,في حيٍّ هادئٍ بمدينةِ فاس، كان ياسرُ تلميذًا مجتهدًا يُعينُ أباه في الدكان، ويستعدُّ لمسابقةِ القراءةِ بالمدرسة بين زملائه.,أراد ياسرُ أن يفوزَ في المسابقة ليُسِرَّ معلمَه ووالديه، ويُثبِتَ لرفاقه أن الاجتهادَ يرفعُ المرءَ ويُجَمِّلُ سيرتَه.,نظّم ياسرُ وقتَه بعد العصر، فقرأَ وحفِظَ وراجَعَ بصبرٍ، واستعانَ بمعلمِه فيما أشكل، ولم يتركْ عملاً بدأه حتى يُتِمَّه.,لمّا رأى زملاؤه ثباتَه، اقتدوا به وهدأ لغطُ الصف، وأعلن المعلمُ تفوقَه، فصار مجلسُ القراءةِ عادةً محبوبةً بين التلاميذ.,تساهل ياسرُ في الاستعداد، فكان يؤجّلُ المراجعةَ ويتلهّى بالحديثِ في الطريق، ثم ادّعى أمام رفاقه أنّه متيقّنٌ من الفوز بلا تعب.,حين أخفق في الإلقاءِ اضطربت ثقةُ زملائِه بكلامه، وتناقص تعاونُهم معه، وشعر المعلمُ بخيبةٍ، فعاد الصفُّ إلى فوضى التهاون.
النظافة,غَسلُ اليدينِ لدى الوُضوءِ نظافةٌ أمر النَّبيُّ بها على استِحسانِ سيَّما إذا ما قُمتَ في غَسَقِ  الدُّجى واستيقَظت من نومِك العينانِ وكذلك الرِّجْلانِ غَسلُهما معًا فَرضٌ ويدخُلُ فيهما الكَعبانِ,في بيتٍ دمشقيٍّ قديمٍ ذي فناءٍ مزدانٍ بالنَّعناع، كان ياسرُ يتعلّم أحكام الطهارة مع أبيه، ويقوم من نومه قبيل الفجر متثاقلاً.,أراد ياسرُ أن يُصلّي الفجرَ حاضرَ القلب في المسجد، وأن يلقى رفاقَه بعد الصلاة بوجهٍ مُشرقٍ لا تعلوه آثارُ كسلٍ أو غفلة.,نهض ياسرُ حين سمع الأذان، فمشى إلى المِغسلة، وغسل يديه ووجهه، وأتمّ وضوءَه بإحكامٍ، واعتنى بغسل قدميه حتى الكعبين.,اطمأنّ الأبُ لحرصِه على الطهارة، فازدادت ثقةُ الأسرة به، ولاحظ إمامُ المسجد انضباطَه، فصار قدوةً حسنةً للصبية في الصفِّ الأول.,استعجل ياسرُ الخروجَ إلى المسجد، فبلّل أطرافَ يديه على عَجَلٍ، وتهاون في غسل قدميه، ومضى يظنّ أن السرعة تُغنيه عن الإتقان.,تضايق المصلّون من رائحةٍ علقت بقدميه، وعاتبه أبوه برفقٍ أمامَ إخوتِه، فتقلّصت مكانتُه بينهم، وشعر بخجلٍ يدعوه إلى المراجعة.
المروءة,يَا بُنَيَّ أَقِمِ الصَّلَاةَ وَأْمُرْ بِالْمَعْرُوفِ وَانْهَ عَنِ الْمُنْكَرِ وَاصْبِرْ عَلَى مَا أَصَابَكَ إِنَّ ذَلِكَ مِنْ عَزْمِ الْأُمُورِ * وَلَا تُصَعِّرْ خَدَّكَ لِلنَّاسِ وَلَا تَمْشِ فِي الْأَرْضِ مَرَحًا إِنَّ اللَّهَ لَا يُحِبُّ كُلَّ مُخْتَالٍ فَخُورٍ * وَاقْصِدْ فِي مَشْيِكَ وَاغْضُضْ مِنْ صَوْتِكَ إِنَّ أَنْكَرَ الْأَصْوَاتِ لَصَوْتُ الْحَمِيرِ [لقمان: 17-19],كان سليمٌ غلامًا في مدرسةِ الحيّ، يرافق رفاقه إلى المسجد القريب، ويشهد سوقَ القرية حيث يعلو اللغطُ وتكثرُ المباهاةُ بين الصبيان.,أراد سليمٌ أن يحفظَ مكانته بين أقرانه، ويكونَ قدوةً محبوبةً، فيجمعَ بين العبادة والأدب، ويُصلحَ ما يراه من جفاءٍ وتفاخر.,لمّا رأى صبيًّا يرفع صوتَه ساخرًا من فقيرٍ عند الدكّان، تقدّم سليمٌ بلطفٍ، فنصحه سرًّا، وخفض كلامه، ودعاهم لصدقةٍ يسيرة.,هدأ المجلسُ واستحيا الصبيُّ، فأقبل أهلُ السوق يثنون على رفقِ سليمٍ وتواضعه، وصار رفاقُه يقلّدون هدوءَه ويعينون المحتاجَ بلا رياء.,لمّا سمع سليمٌ ضحكَ رفاقه، شاركهم متعاليًا، فرفع صوتَه وازدرى الفقير، ومشى مزهوًّا بين الناس، يطلبُ التصفيقَ ويُكثرُ الفخرَ بلباسه.,تغيّر وجهُ المارّة ونفروا منه، وابتعد الفقير حزينًا، ثم خسر سليمٌ احترامَ معلمِه ورفاقه، وصاروا يذكرون سوء أدبه كلما اجتمعوا.
الصبر,وَتَوَاصَوْا بِالصَّبْرِ وَتَوَاصَوْا بِالْمَرْحَمَةِ [البلد: 17],كان ياسرُ تلميذًا مجتهدًا يسكن قربَ مسجدِ الحيّ، ويُعين أمَّه في دكّانٍ صغير، ويخالطُ صبيانًا يكثرُ منهم المزاحُ الخشنُ والخصام.,أراد ياسرُ أن يحفظَ ودَّ أصحابه ويصلحَ ما بينهم، وأن يبلغَ رضوانَ الله بحسن الخلق، حين يلقى أذًى أو إساءةً في لعبهم اليوميّ.,لمّا سخر حازمٌ من ثوبِ ياسر أمام الصبيان، كظم ياسرُ غيظَه، ولانَ قولُه، ثم دعا حازمًا إلى الاعتذار، وعرض عليه أن يشاركه لعبةً نافعة.,رأى الصبيانُ حلمَ ياسر فاستحيَوا من الفُحش، ومالوا إلى الرفق، وقَبِل حازمٌ الصلح، فصار المجلسُ أهدأ، وتعاونوا على اللعب بلا أذى.,لمّا سخر حازمٌ من ثوبِ ياسر أمام الصبيان، ثار ياسرُ غضبًا، ورفع صوتَه بالسباب، ودفع حازمًا بيده، وأقسم ألا يجالسه بعد ذلك يومًا.,اشتدّ الشقاقُ بين الصبيان، وتفرّقوا أحزابًا، وصار كلُّ مجلسٍ يذكر الآخر بسوء، وبلغ الخبرُ الإمامَ فأُنِّبوا، وساءت سمعةُ ياسر بين جيرانه.
المروءة,فلو كُنتُ مُثرًى بمالِ كثيرٍ لجُدتُ وكُنتُ له باذِلَا فإنَّ المُروءةَ لا تُستطاعُ إذا لم يكُنْ مالُها فاضِلَا,كان عبدُالرحمنِ غلامًا يتيمًا يسكنُ حارةً قريبةً من المسجد، ويعينُ أمَّه في دكّانٍ صغيرٍ يجاوره فقراءُ ومارّةٌ كثيرون.,أراد عبدُالرحمنِ أن يَبلُغَ في أعينِ أهلِ الحارة منزلةَ الكريمِ الرحيم، وأن يُخفِّفَ عن جيرانه مع ضيقِ ذاتِ يده.,جمع عبدُالرحمنُ ما تيسّر من خبزٍ وتمرٍ، ثم قصدَ بيتَ الأرملةِ خديجة، فسلّمَ وواسَى، وتركَ القليلَ بوجهٍ طلقٍ دون مَنٍّ.,انتشر خبرُ صنيعه بين الجيران، فدَعَوا له بخيرٍ، وأقبلَ أصحابُ الدكاكين يرفدون أمَّه بالرزق، فازدادت المودّةُ والأمانُ في الحيّ.,رأى عبدُالرحمنُ الأرملةَ تسألُ الناسَ قوتًا لأطفالها، فخبّأ ما عنده خشيةَ النقص، وتظاهرَ بالغنى، وصرفَها بكلامٍ جافٍّ مُؤذٍ.,ساء ظنُّ الجيرانِ به، فتباعدوا عنه، وقلّ من يشتري من دكّان أمّه، واشتدّت وحشةُ الحارة، وبقيت الأرملةُ في ضيقٍ أشدّ.
الزهد بما في أيدي الناس,تعوَّدْتُ مسَّ الضُّرِّ حتَّى ألِفْتُه وأحوَجَني طولُ العَزاءِ إلى الصَّبرِ وصيَّرني يأسي مِن النَّاسِ راجِيًا لسُرعةِ لُطفِ اللهِ مِن حيثُ لا أدري,في حارةٍ قديمةٍ قربَ المسجدِ الكبير، كان عبدُالرحمنِ صبيًّا مجتهدًا يدرسُ في الكتّاب، ويرى زملاءَه يتباهونَ بثيابٍ جديدةٍ وهدايا العيدِ.,أرادَ عبدُالرحمنِ أن يثبتَ لنفسِه أنّ كرامتَه لا تتعلّقُ بما عندَ الناس، وأن يطلبَ فرحَه من سعيِه وشكرِه لا من المقارنةِ.,جمعَ عبدُالرحمنُ مصروفَه القليلَ سرًّا، واشترى به كراسةً وقلماً، ثم عادَ يحمدُ اللهَ ويعينُ أمَّه في البيتِ دونَ أن يمدَّ عينَه لما عندَ غيرِه.,لما رأى المعلّمُ جِدَّه وأدبَه، قرّبه وشجّعه، وصارَ زملاؤه يوقّرونه ويستشيرونه، فانتشرَ في الصفِّ خُلقُ القناعةِ ولانَتِ القلوبُ.,أخذَ عبدُالرحمنُ يراقبُ ما في أيدي رفاقِه، وألحَّ على أبيهِ بطلبِ ما ليس في وسعِهم، وجعلَ يعيبُ نعمتَه ويُظهرُ الضيقَ أمامَ أهلِه.,ضاقَ صدرُ أهلِه بكثرةِ شكواه، ونفرَ منه أقرانُه لمرارةِ كلامِه، فكثرَتِ الخصومةُ في المجلسِ وضعفَتِ المودّةُ، وبقيَ قلبُه قلقًا لا يهدأُ.
